pasta,identifier,filename,Formato,titulo,size,Link
EDUCAÇÃO FINANCEIRA - CRISTINA KOZAN,AULA_1_AO_VIVO-EDUCACAO_FINANCEIRA_EJA-TURMAS_2_E_3_MODULO_1_2024-04-16_20_03_GMT-3,AULA 1 AO VIVO - EDUCAÇÃO FINANCEIRA EJA - TURMAS 2 E 3_MÓDULO 1 (2024-04-16 20_03 GMT-3),p4,AULA 1 AO VIVO - EDUCAÇÃO FINANCEIRA EJA - TURMAS 2 E 3_MÓDULO 1 (2024-04-16 20_03 GMT-3).mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_1_AO_VIVO-EDUCACAO_FINANCEIRA_EJA-TURMAS_2_E_3_MODULO_1_2024-04-16_20_03_GMT-3/qualidade-720.mp4
EDUCAÇÃO FINANCEIRA - CRISTINA KOZAN,AULA_2_AO_VIVO-EDUCACAO_FINANCEIRA_EJA-TURMAS_2_E_3_MODULO_1_2024-04-18_19_02_GMT-3,AULA 2 AO VIVO - EDUCAÇÃO FINANCEIRA EJA - TURMAS 2 E 3_MÓDULO 1 (2024-04-18 19_02 GMT-3),p4,AULA 2 AO VIVO - EDUCAÇÃO FINANCEIRA EJA - TURMAS 2 E 3_MÓDULO 1 (2024-04-18 19_02 GMT-3).mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_2_AO_VIVO-EDUCACAO_FINANCEIRA_EJA-TURMAS_2_E_3_MODULO_1_2024-04-18_19_02_GMT-3/qualidade-720.mp4
EDUCAÇÃO FINANCEIRA - CRISTINA KOZAN,AULA_3_E_4_PRESENCIAL-EDUCACAO_FINANCEIRA_EJA-TURMAS_2_E_3_MODULO_1_E_TURMA_1_MODULO_2_2024-06-01_08_31_GMT-3,AULA 3 e 4 PRESENCIAL - EDUCAÇÃO FINANCEIRA EJA - TURMAS 2 E 3_ MÓDULO 1 E TURMA 1_MÓDULO 2 (2024-06-01 08_31 GMT-3),p4,AULA 3 e 4 PRESENCIAL - EDUCAÇÃO FINANCEIRA EJA - TURMAS 2 E 3_ MÓDULO 1 E TURMA 1_MÓDULO 2 (2024-06-01 08_31 GMT-3).mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_3_E_4_PRESENCIAL-EDUCACAO_FINANCEIRA_EJA-TURMAS_2_E_3_MODULO_1_E_TURMA_1_MODULO_2_2024-06-01_08_31_GMT-3/qualidade-720.mp4
EDUCAÇÃO FÍSICA,RESUMO_MODULO_1_EDUCACAO_FISICA,Resumo Módulo 1 Educação Física,p4,Resumo Módulo 1 Educação Física.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/RESUMO_MODULO_1_EDUCACAO_FISICA/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,MODULO_1-UNIDADE_2-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE,MÓDULO 1 - UNIDADE 2 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE,p4,MÓDULO 1 - UNIDADE 2 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/MODULO_1-UNIDADE_2-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,MODULO_1-UNIDADE_3-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE,MÓDULO 1 - UNIDADE 3 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE,p4,MÓDULO 1 - UNIDADE 3 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/MODULO_1-UNIDADE_3-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,MODULO_1-UNIDADE_1-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE,MÓDULO 1 - UNIDADE 1 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE,p4,MÓDULO 1 - UNIDADE 1 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/MODULO_1-UNIDADE_1-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,MODULO_2-UNIDADE_3-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE,MÓDULO 2 - UNIDADE 3 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE,p4,MÓDULO 2 - UNIDADE 3 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/MODULO_2-UNIDADE_3-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,MODULO_2-UNIDADE_2-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE,MÓDULO 2 - UNIDADE 2 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE,p4,MÓDULO 2 - UNIDADE 2 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/MODULO_2-UNIDADE_2-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,MODULO_2-UNIDADE_1-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE,MÓDULO 2 - UNIDADE 1 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE,p4,MÓDULO 2 - UNIDADE 1 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/MODULO_2-UNIDADE_1-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE/qualidade-720.mp4
